형태소,품사,분류,카운트
easier,JJR,BLACKPINK,3
eat,VB,BLACKPINK,2
eee,FW,BLACKPINK,6
eh,JJ,BLACKPINK,2
eh,VBZ,BLACKPINK,2
else,RB,BLACKPINK,2
em,IN,BLACKPINK,2
em,JJ,BLACKPINK,1
em,VBD,BLACKPINK,3
enemies,NNS,BLACKPINK,1
enough,IN,BLACKPINK,1
enough,NN,BLACKPINK,1
enough,RB,BLACKPINK,2
even,RB,BLACKPINK,1
ever,RB,BLACKPINK,24
everybody,NN,BLACKPINK,3
exes,NNS,BLACKPINK,1
extra,VB,Lady Gaga & BLACKPINK,1
eyes,NNS,Lady Gaga & BLACKPINK,1
fact,NN,BLACKPINK,1
fade,VB,BLACKPINK,1
fake,JJ,Lady Gaga & BLACKPINK,1
fakes,NNS,BLACKPINK,1
fall,NN,BLACKPINK,1
fallin,NN,BLACKPINK,1
fan,NN,BLACKPINK,1
fat,JJ,BLACKPINK,1
favorite,JJ,BLACKPINK,3
feelin,NN,BLACKPINK,1
feelin,VB,BLACKPINK,1
feelin,VBP,BLACKPINK,1
felony,NN,BLACKPINK,2
fight,NN,BLACKPINK,1
finally,RB,BLACKPINK,2
find,IN,BLACKPINK,2
find,VB,BLACKPINK,1
finger,VBZ,BLACKPINK,1
finna,TO,BLACKPINK,1
fire,JJ,BLACKPINK,1
fire,NN,BLACKPINK,13
fix,VB,Lady Gaga & BLACKPINK,1
flavor,NN,BLACKPINK,1
flip,VBD,BLACKPINK,1
fly,VBP,BLACKPINK,2
foolish,JJ,BLACKPINK,1
for,IN,BLACKPINK,10
for,IN,Lady Gaga & BLACKPINK,2
forever,RB,BLACKPINK,1
free,JJ,BLACKPINK,3
fresh,JJ,BLACKPINK,1
fridge,NN,BLACKPINK,2
friend,NN,BLACKPINK,1
from,IN,BLACKPINK,3
frozen,JJ,BLACKPINK,1
full,JJ,BLACKPINK,1
fun,NN,BLACKPINK,3
fun,VBP,BLACKPINK,1
get,VB,BLACKPINK,6
get,VBP,BLACKPINK,4
get,VBP,Lady Gaga & BLACKPINK,2
gettin,JJ,BLACKPINK,1
gettin,VBP,BLACKPINK,1
girl,NN,BLACKPINK,5
girls,NNS,BLACKPINK,12
give,VB,BLACKPINK,2
give,VBP,Lady Gaga & BLACKPINK,2
go,VB,BLACKPINK,12
go,VBP,BLACKPINK,7
god,NNS,BLACKPINK,1
goes,VBZ,BLACKPINK,3
goin,VBP,BLACKPINK,1
gon,NN,BLACKPINK,2
gon,VB,BLACKPINK,2
gon,VBD,BLACKPINK,2
gon,VBG,BLACKPINK,1
gon,VBP,BLACKPINK,11
gon,VBZ,BLACKPINK,4
good,JJ,BLACKPINK,9
goodbye,VBP,BLACKPINK,2
got,VBD,BLACKPINK,16
ha,NN,BLACKPINK,1
had,VBD,BLACKPINK,3
